116,[39 595 774 1523 2029 2161 2847 3123 3314 4614 5741 7016 7401 7445 9137 9257 9517 9525 10208 10378 10528 11229 11430 11923 12054 12134],[3.9133383e-08 3.7916593e-07 1.6561405e-07 5.557535e-07 9.523553e-05 1.1784437e-06 0.037784465 5.9256778e-05 0.00022276066 0.0005503057 0.0025545873 0.6992544 0.005754425 0.00020671585 8.323926e-05 0.00013836313 0.001532761 0.07590381 0.17546935 6.823799e-06 0.00030997634 5.2793584e-06 1.2824259e-07 3.3493718e-05 1.7128907e-05 1.51643735e-05]
117,[39 3084 3905 4362 5021 6321 8486],[7.649702e-07 1.5228701e-05 0.009051213 0.21993148 0.000276808 0.70893943 0.06178519]
118,[40 735 845 851 1013 1026 1096 1170 5668 6174 11453 11593 12246],[0.0034769236 0.00015537778 0.0034003376 0.005712558 0.00020253104 0.00010936384 0.00046058526 0.00027729638 0.015261356 0.9012444 0.0025034598 0.03768464 0.029511157]
119,[40 940 989 1029 1171 1564 1690 2523 2631 3520 3548 3879 3970 5196 5807 7100 9865 10785],[0.0016495059 2.0640327e-05 3.760219e-05 8.026701e-06 8.87318e-06 0.00024620874 3.0853353e-05 0.027823593 0.05812112 0.15091157 0.14580669 0.0008377402 0.036949158 0.01743085 0.0640625 0.0013155713 0.49443838 0.00030106635]
120,[40 1550 2065 5774 9788],[0.09608919 0.010495676 0.0006176813 0.7791134 0.113684036]
121,[41 117 538 1052 1157 1502 1526 1649 2679 4867 5004 6212 7516 7688 7718 8976 9034 9288 11223 11759 11809 11814 11978],[0.0013239088 0.0007194234 0.00014361151 1.1246047e-05 1.4597654e-05 4.1890104e-05 6.909053e-05 3.898068e-05 0.0006914283 0.021585206 0.4905396 0.101574674 0.0008257726 0.005186502 1.4760672e-05 0.002347421 0.37158155 0.00063333596 0.00011476198 0.00050603837 3.1552532e-05 0.00038193222 0.0016226602]
122,[41 1135 1635 1735 1873 2464 2648 3132 4328 4622 4656 8584 8860 10939 11435],[8.386498e-05 1.734049e-08 2.3843802e-07 0.01560111 4.401185e-06 0.00012632571 5.3024647e-05 3.246049e-05 3.0229852e-05 0.00035787834 2.81298e-05 0.29687852 0.6867209 1.9815923e-05 6.3103704e-05]
123,[41 3673],[0.9999976 2.4221217e-06]
124,[41 255 2367 10236],[0.8662248 1.2021322e-07 0.13329864 0.00047641862]
125,[42 1598 9529],[0.9999999 5.488968e-10 7.816433e-08]
126,[42 527 1328 1442 1598 2243 3624 8587 9529 9823 9893 12107],[5.333073e-05 5.9091466e-08 0.00030668505 1.2652295e-07 0.0003717531 0.00063333224 0.10554598 0.0009979012 0.88806313 0.0024221286 3.6641442e-05 0.0015688353]
127,[42 52 8575 10778],[0.4870345 0.0035912236 0.5091734 0.00020087136]
128,[42 66 138 644 764 815 859 921 1192 1216 1359 1408 1849 1928 2313 2706 3265 3456 3529 3600 3624 4170 6187 7300 10231 10601 10768 10857 10997 11079 11988],[0.70400107 0.00010259392 6.203654e-06 2.80293e-05 1.2096071e-06 6.1835686e-05 1.526868e-05 1.3511791e-05 3.0873955e-05 2.7040621e-06 5.9441195e-06 6.1947896e-05 0.00034247356 0.12593366 0.00013973212 6.233544e-06 0.0018858712 0.026566973 0.01977218 2.4080862e-06 4.91217e-05 0.0010514568 0.0028696256 0.1013512 0.0005357522 0.0071339137 0.00072414166 0.0010655131 8.531872e-06 0.005833436 0.00039654138]
129,[42 2515 5027 5185 8575],[0.38508728 0.0024360314 0.0033066198 1.8450943e-05 0.6091516]
130,[43 3388],[0.017180057 0.9828199]
131,[43 5271 8940],[1.7897008e-05 0.88553506 0.11444695]
132,[43 8316],[0.4846081 0.5153919]
